"year","state","state_po","state_fips","state_cen","state_ic","county","FIPS","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","version"
2018,"Hawaii","HI",15,95,82,"Hawaii",15001,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"absentee",21357,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Hawaii",15001,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"early",4885,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Hawaii",15001,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"election",17106,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Hawaii",15001,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"absentee",6952,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Hawaii",15001,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"early",1637,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Hawaii",15001,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"election",6442,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Honolulu",15003,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"absentee",91529,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Honolulu",15003,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"early",9309,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Honolulu",15003,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"election",75867,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Honolulu",15003,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"absentee",36913,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Honolulu",15003,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"early",4345,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Honolulu",15003,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"election",38245,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Kauai",15007,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"absentee",8236,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Kauai",15007,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"early",2259,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Kauai",15007,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"election",8015,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Kauai",15007,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"absentee",2517,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Kauai",15007,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"early",764,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Kauai",15007,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"election",2839,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Maui",15009,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"absentee",17117,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Maui",15009,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"early",3568,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Maui",15009,"U.S. Senator","statewide","gen",FALSE,"Mazie K. Hirono","democrat",FALSE,"election",17068,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Maui",15009,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"absentee",5005,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Maui",15009,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"early",974,388351,"20181212"
2018,"Hawaii","HI",15,95,82,"Maui",15009,"U.S. Senator","statewide","gen",FALSE,"Ron Curtis","republican",FALSE,"election",5402,388351,"20181212"
